YEAR,MO,DY,ALLSKY_SFC_SW_DWN,KT SRB/FLASHFlux 1/2x1/2 Insolation Clearness Index (dimensionless) 
2019,1,1,1.87,0.29
2019,1,2,1.07,0.16
2019,1,3,1.37,0.21
2019,1,4,2.97,0.46
2019,1,5,2.25,0.35
2019,1,6,1.62,0.25
2019,1,7,2.07,0.32
2019,1,8,1.91,0.29
2019,1,9,2.29,0.35
2019,1,10,3.01,0.45
2019,1,11,2.92,0.44
2019,1,12,2.05,0.31
2019,1,13,1.74,0.26
2019,1,14,1.78,0.26
2019,1,15,2.61,0.39
2019,1,16,1.15,0.17
2019,1,17,1.42,0.21
2019,1,18,3.25,0.48
2019,1,19,2.64,0.39
2019,1,20,1.66,0.24
2019,1,21,1.24,0.18
2019,1,22,1.62,0.23
2019,1,23,2.28,0.33
2019,1,24,2.75,0.39
2019,1,25,3.11,0.44
2019,1,26,2.29,0.32
2019,1,27,2.43,0.34
2019,1,28,3.74,0.52
2019,1,29,2.85,0.4
2019,1,30,3.19,0.44
2019,1,31,4.37,0.6
2019,2,1,1.12,0.15
2019,2,2,3.31,0.45
2019,2,3,3.81,0.52
2019,2,4,1.87,0.25
2019,2,5,3.16,0.42
2019,2,6,4.04,0.54
2019,2,7,4.58,0.61
2019,2,8,2.43,0.32
2019,2,9,2.03,0.27
2019,2,10,2.03,0.26
2019,2,11,2.57,0.33
2019,2,12,3.14,0.4
2019,2,13,2.63,0.33
2019,2,14,3.41,0.43
2019,2,15,3.35,0.42
2019,2,16,2.7,0.34
2019,2,17,2.29,0.28
2019,2,18,2.28,0.28
2019,2,19,2.52,0.31
2019,2,20,3.77,0.46
2019,2,21,2.98,0.36
2019,2,22,3.29,0.4
2019,2,23,1.94,0.23
2019,2,24,0.7,0.08
2019,2,25,2.57,0.3
2019,2,26,2.82,0.33
2019,2,27,4.19,0.49
2019,2,28,2.15,0.25
2019,3,1,3.19,0.37
2019,3,2,4.18,0.48
2019,3,3,1.26,0.14
2019,3,4,3.73,0.42
2019,3,5,2.51,0.28
2019,3,6,1.35,0.15
2019,3,7,0.38,0.04
2019,3,8,1.19,0.13
2019,3,9,1.35,0.15
2019,3,10,1.13,0.12
2019,3,11,1.36,0.15
2019,3,12,5.18,0.56
2019,3,13,2.65,0.29
2019,3,14,3.91,0.42
2019,3,15,1.53,0.16
2019,3,16,1.79,0.19
2019,3,17,2.11,0.22
2019,3,18,3.77,0.4
2019,3,19,3.35,0.35
2019,3,20,5.23,0.55
2019,3,21,5.67,0.59
2019,3,22,2.58,0.27
2019,3,23,1.56,0.16
2019,3,24,0.68,0.07
2019,3,25,0.92,0.09
2019,3,26,4,0.41
2019,3,27,5.29,0.54
2019,3,28,5.75,0.58
2019,3,29,4.26,0.43
2019,3,30,3.32,0.33
2019,3,31,2.81,0.28
2019,4,1,1.38,0.14
2019,4,2,1.96,0.19
2019,4,3,2.37,0.23
2019,4,4,4.03,0.4
2019,4,5,3.89,0.38
2019,4,6,4.5,0.44
2019,4,7,5.25,0.51
2019,4,8,5.26,0.51
2019,4,9,5.82,0.57
2019,4,10,5.6,0.54
2019,4,11,3.54,0.34
2019,4,12,2.67,0.26
2019,4,13,2.85,0.27
2019,4,14,3.87,0.37
2019,4,15,0.98,0.09
2019,4,16,1.31,0.13
2019,4,17,4.72,0.45
2019,4,18,5.2,0.49
2019,4,19,3.12,0.3
2019,4,20,2.77,0.26
2019,4,21,3.05,0.29
2019,4,22,4.56,0.43
2019,4,23,5.7,0.54
2019,4,24,6.06,0.57
2019,4,25,6.21,0.58
2019,4,26,5.11,0.48
2019,4,27,2.59,0.24
2019,4,28,3.95,0.37
2019,4,29,5.04,0.47
2019,4,30,5.6,0.52
2019,5,1,1.09,0.1
2019,5,2,0.84,0.08
2019,5,3,3.33,0.31
2019,5,4,1.89,0.17
2019,5,5,2.57,0.24
2019,5,6,0.83,0.08
2019,5,7,1.46,0.13
2019,5,8,1.98,0.18
2019,5,9,1.53,0.14
2019,5,10,2.92,0.27
2019,5,11,4.55,0.42
2019,5,12,5.49,0.5
2019,5,13,5.47,0.5
2019,5,14,5.62,0.51
2019,5,15,3.5,0.32
2019,5,16,3.73,0.34
2019,5,17,0.95,0.09
2019,5,18,0.87,0.08
2019,5,19,4.55,0.41
2019,5,20,1.28,0.12
2019,5,21,2.84,0.26
2019,5,22,2.57,0.23
2019,5,23,1.37,0.12
2019,5,24,3.47,0.31
2019,5,25,3.27,0.29
2019,5,26,4.23,0.38
2019,5,27,2.67,0.24
2019,5,28,0.94,0.08
2019,5,29,2.41,0.22
2019,5,30,3.68,0.33
2019,5,31,4.23,0.38
2019,6,1,4.46,0.4
2019,6,2,3.51,0.31
2019,6,3,2.14,0.19
2019,6,4,1.94,0.17
2019,6,5,4.96,0.44
2019,6,6,5.91,0.53
2019,6,7,5.96,0.53
2019,6,8,4.38,0.39
2019,6,9,3.91,0.35
2019,6,10,1.13,0.1
2019,6,11,1.09,0.1
2019,6,12,1.14,0.1
2019,6,13,2.82,0.25
2019,6,14,2.33,0.21
2019,6,15,6.04,0.54
2019,6,16,6.48,0.58
2019,6,17,5.76,0.51
2019,6,18,3.73,0.33
2019,6,19,6.36,0.57
2019,6,20,6.82,0.61
2019,6,21,6.45,0.58
2019,6,22,1.35,0.12
2019,6,23,1.79,0.16
2019,6,24,1.21,0.11
2019,6,25,4.21,0.38
2019,6,26,4,0.36
2019,6,27,3.55,0.32
2019,6,28,6.06,0.54
2019,6,29,4.89,0.44
2019,6,30,4.85,0.43
2019,7,1,6.06,0.54
2019,7,2,4.57,0.41
2019,7,3,4.1,0.37
2019,7,4,2.68,0.24
2019,7,5,4.97,0.45
2019,7,6,3.58,0.32
2019,7,7,5.76,0.52
2019,7,8,5.13,0.46
2019,7,9,4.92,0.44
2019,7,10,6.39,0.58
2019,7,11,6.03,0.54
2019,7,12,6.16,0.56
2019,7,13,7.09,0.64
2019,7,14,6.83,0.62
2019,7,15,6.65,0.6
